player_name,tf_season,days_remaining
Ljubomir Fejsa,2020,279.0
Ljubomir Fejsa,2019,518.0
Gedson Fernandes,2022,1095.0
Gedson Fernandes,2021,1243.0
Gedson Fernandes,2020,879.0
Gedson Fernandes,2019,1262.0
Gabriel Pires,2022,688.0
Gabriel Pires,2021,1006.0
Adel Taarabt,2022,279.0
Adel Taarabt,2018,730.0
Adel Taarabt,2016,1267.0
Tiago Dantas,2022,730.0
Tiago Dantas,2021,1089.0
Tiago Dantas,2020,1364.0
Caio Lucas,2021,724.0
Caio Lucas,2019,1254.0
Pizzi,2022,338.0
Pizzi,2021,507.0
Pizzi,2013,3624.0
Chiquinho,2021,874.0
Chiquinho,2021,1034.0
Chiquinho,2018,1802.0
Jota,2022,730.0
Jota,2021,1034.0
Jota,2020,1364.0
Franco Cervi,2021,725.0
Andrija Zivkovic,2020,295.0
Raúl de Tomás,2019,1634.0
Carlos Vinícius,2022,668.0
Carlos Vinícius,2021,1034.0
Carlos Vinícius,2020,1367.0
Haris Seferovic,2022,516.0
Haris Seferovic,2022,711.0
Dyego Sousa,2020,88.0
Helton Leite,2022,892.0
Mile Svilar,2022,
Rúben Dias,2020,1370.0
Jean-Clair Todibo,2020,515.0
Jan Vertonghen,2022,301.0
Ferro,2022,501.0
Ferro,2022,716.0
Ferro,2021,881.0
Ferro,2020,1246.0
Jardel,2021,
Nuno Tavares,2021,1086.0
André Almeida,2022,
André Almeida,2011,4379.0
Julian Weigl,2022,668.0
Andreas Samaris,2021,668.0
Ilija Vukotic,2022,1095.0
Ilija Vukotic,2021,1413.0
Gabriel Pires,2022,688.0
Gabriel Pires,2021,1006.0
Adel Taarabt,2022,279.0
Adel Taarabt,2018,730.0
Adel Taarabt,2016,1267.0
Paulo Bernardo,2022,1611.0
Pizzi,2022,338.0
Pizzi,2021,507.0
Pizzi,2013,3624.0
Chiquinho,2021,874.0
Chiquinho,2021,1034.0
Chiquinho,2018,1802.0
Éverton,2022,1078.0
Franco Cervi,2021,725.0
Pedrinho,2021,1460.0
Diogo Gonçalves,2022,907.0
Diogo Gonçalves,2019,1095.0
Diogo Gonçalves,2018,2556.0
Luca Waldschmidt,2021,1408.0
Darwin Núñez,2022,1095.0
Carlos Vinícius,2022,668.0
Carlos Vinícius,2021,1034.0
Carlos Vinícius,2020,1367.0
Haris Seferovic,2022,516.0
Haris Seferovic,2022,711.0
Facundo Ferreyra,2020,514.0
Facundo Ferreyra,2018,1246.0
Helton Leite,2022,892.0
